"","County","pop_geq_60"
"1","Adair",2193
"2","Adams",1498
"3","Allamakee",3137
"4","Appanoose",3751
"5","Audubon",1974
"6","Benton",4080
"7","Black Hawk",17289
"8","Boone",5648
"9","Bremer",3782
"10","Buchanan",3441
"11","Buena Vista",4002
"12","Butler",3365
"13","Calhoun",3241
"14","Carroll",4089
"15","Cass",3891
"16","Cedar",3328
"17","Cerro Gordo",8587
"18","Cherokee",3182
"19","Chickasaw",2715
"20","Clarke",1830
"21","Clay",3312
"22","Clayton",4177
"23","Clinton",9012
"24","Crawford",3257
"25","Dallas",4713
"26","Davis",1852
"27","Decatur",2286
"28","Delaware",3061
"29","Des Moines",8386
"30","Dickinson",2627
"31","Dubuque",12301
"32","Emmet",2522
"33","Fayette",5171
"34","Floyd",3716
"35","Franklin",2854
"36","Fremont",2120
"37","Greene",2854
"38","Grundy",2597
"39","Guthrie",2954
"40","Hamilton",3404
"41","Hancock",2630
"42","Hardin",4589
"43","Harrison",3512
"44","Henry",3510
"45","Howard",2532
"46","Humboldt",2333
"47","Ida",1943
"48","Iowa",2930
"49","Jackson",3670
"50","Jasper",5826
"51","Jefferson",3062
"52","Johnson",7009
"53","Jones",3299
"54","Keokuk",3344
"55","Kossuth",4122
"56","Lee",7577
"57","Linn",20594
"58","Louisa",2031
"59","Lucas",2478
"60","Lyon",2388
"61","Madison",2631
"62","Mahaska",4808
"63","Marion",5169
"64","Marshall",6935
"65","Mills",2081
"66","Mitchell",2791
"67","Monona",2793
"68","Monroe",2283
"69","Montgomery",3213
"70","Muscatine",6119
"71","O Brien",3697
"72","Osceola",1723
"73","Page",4531
"74","Palo Alto",2659
"75","Plymouth",4050
"76","Pocahontas",2607
"77","Polk",39847
"78","Pottawattamie",12593
"79","Poweshiek",3393
"80","Ringgold",1627
"81","Sac",3399
"82","Scott",18313
"83","Shelby",2897
"84","Sioux",4472
"85","Story",7108
"86","Tama",4088
"87","Taylor",2424
"88","Union",3205
"89","Van Buren",2131
"90","Wapello",8589
"91","Warren",3432
"92","Washington",3901
"93","Wayne",2384
"94","Webster",8213
"95","Winnebago",2669
"96","Winneshiek",3918
"97","Woodbury",17618
"98","Worth",1977
"99","Wright",3526
